,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Bathsheba,40,BB,1578787338,78,13.22,-59.52,298.15,10.3
81,Tarakan,100,ID,1578787542,92,3.3,117.63,297.3,1.4
82,Tasiilaq,100,GL,1578787343,58,65.61,-37.64,269.15,1.5
83,Port Elizabeth,0,ZA,1578787542,86,-33.92,25.57,293.95,8.87
84,Minudasht,100,IR,1578787543,86,37.23,55.37,277.15,7.21
85,Banepa,20,NP,1578787543,100,27.63,85.52,277.15,1.97
86,Kapaa,20,US,1578787339,78,22.08,-159.32,299.15,2.1
87,Bitung,40,ID,1578787543,94,1.45,125.18,297.15,1.5
88,Qaanaaq,0,GL,1578787358,41,77.48,-69.36,248.3,2.28
89,Puerto Narino,75,CO,1578787544,100,-3.77,-70.38,297.15,1.12
90,Coyhaique,40,CL,1578787544,48,-45.58,-72.07,292.15,3.1
91,Caravelas,0,BR,1578787370,84,-17.71,-39.25,299.44,7.1
92,Huambo,100,AO,1578787544,98,-12.78,15.74,287.89,0.5
93,Hofn,100,IS,1578787545,54,64.25,-15.21,274.95,12.53
94,Ribeira Grande,100,PT,1578787338,66,38.52,-28.7,283.98,3.18
95,Thompson,40,CA,1578787223,75,55.74,-97.86,246.15,1.5
96,Kahului,90,US,1578787545,78,20.89,-156.47,298.15,6.2
97,Talnakh,75,RU,1578787346,92,69.49,88.4,259.15,14.0
98,Saint George,11,US,1578787223,36,37.1,-113.58,281.15,3.6
99,Upernavik,100,GL,1578787546,58,72.79,-56.15,251.29,1.3
100,Dikson,100,RU,1578787344,96,73.51,80.55,255.0,5.22
101,Margate,75,GB,1578787546,81,51.38,1.39,283.15,10.8
102,Vao,100,NC,1578787546,79,-22.67,167.48,298.14,6.77
103,Hasaki,75,JP,1578787547,93,35.73,140.83,276.15,2.6
104,Sioux Lookout,75,CA,1578787547,70,50.1,-91.92,253.15,1.0
105,Ormara,71,PK,1578787547,73,25.21,64.64,296.07,9.81
106,Aklavik,40,CA,1578787547,74,68.22,-135.01,244.15,1.0
107,Nanortalik,33,GL,1578787547,60,60.14,-45.24,265.31,8.51
108,Iqaluit,75,CA,1578787339,68,63.75,-68.51,244.26,4.1
109,Wanganui,18,NZ,1578787548,34,-39.93,175.05,297.59,4.47
110,Nanning,75,CN,1578787326,81,22.82,108.32,284.15,2.0
111,Okhotsk,98,RU,1578787548,90,59.38,143.3,248.64,3.62
112,Slobodskoy,87,RU,1578787549,97,58.73,50.18,261.73,2.02
113,Verkhnevilyuysk,100,RU,1578787549,93,63.45,120.32,256.1,3.33
114,Concordia,60,AR,1578787549,58,-31.39,-58.02,301.48,1.34
115,Camopi,42,GF,1578787550,96,3.17,-52.32,294.93,1.91
116,Noumea,72,NC,1578787543,55,-22.28,166.46,303.15,3.1
117,Esim,33,GH,1578787550,89,4.87,-2.24,298.19,1.12
118,Aksay,75,RU,1578787550,93,47.26,39.87,278.15,6.0
119,Nakhon Sawan,59,TH,1578787550,65,15.7,100.14,298.15,1.76
120,Kaitangata,51,NZ,1578787551,75,-46.28,169.85,287.59,5.36
121,Mtinko,100,TZ,1578787551,93,-4.55,34.85,289.81,2.39
122,Tuktoyaktuk,90,CA,1578787352,82,69.45,-133.04,246.15,5.7
123,Isangel,75,VU,1578787551,88,-19.55,169.27,301.15,9.43
124,Isla Mujeres,20,MX,1578787551,74,21.23,-86.73,301.15,5.1
125,Musoma,96,TZ,1578787552,77,-1.5,33.8,292.55,0.94
126,Billings,75,US,1578787552,43,45.78,-108.5,274.15,6.7
127,Balkanabat,26,TM,1578787552,86,39.51,54.37,272.45,1.46
128,Pozo Colorado,100,PY,1578787552,48,-23.49,-58.8,305.02,1.75
129,Jalu,1,LY,1578787552,50,29.03,21.55,283.33,4.08
130,San Cristobal,40,VE,1578787553,54,7.77,-72.22,300.15,4.1
131,Kavaratti,0,IN,1578787553,72,10.57,72.64,300.4,3.69
132,Bambous Virieux,40,MU,1578787364,88,-20.34,57.76,299.15,2.1
133,Kawalu,81,ID,1578787553,76,-7.38,108.21,295.26,0.97
134,French Harbor,40,HN,1578787554,78,16.35,-86.43,301.15,9.3
135,Lorengau,97,PG,1578787554,77,-2.02,147.27,302.4,5.61
136,Sao Gabriel da Cachoeira,56,BR,1578787554,83,-0.13,-67.09,297.98,1.53
137,Vila Franca do Campo,75,PT,1578787554,71,37.72,-25.43,286.15,3.6
138,Comodoro Rivadavia,29,AR,1578787526,43,-45.87,-67.5,294.15,4.6
139,Igarka,100,RU,1578787555,93,67.47,86.58,259.36,9.92
140,Tereze,100,RU,1578787555,75,43.94,42.44,275.15,2.0
141,Channel-Port aux Basques,100,CA,1578787555,99,47.57,-59.14,275.92,10.38
142,Srednekolymsk,100,RU,1578787369,98,67.45,153.68,244.52,2.34
143,Saskylakh,98,RU,1578787356,93,71.92,114.08,259.0,3.75
144,Aguimes,75,ES,1578787556,72,27.91,-15.45,290.15,4.6
145,Elko,75,US,1578787556,84,41.0,-115.5,273.15,4.1
146,Zhigansk,99,RU,1578787556,97,66.77,123.37,246.66,3.67
147,Butaritari,69,KI,1578787334,74,3.07,172.79,301.9,4.39
148,Gobabis,0,NA,1578787557,62,-22.45,18.97,295.88,4.74
149,Waipawa,16,NZ,1578787557,77,-41.41,175.52,292.04,10.8
150,San Patricio,75,MX,1578787351,74,19.22,-104.7,302.15,2.6
151,Gladstone,89,AU,1578787557,62,-23.85,151.25,302.59,3.6
152,Lebu,0,CL,1578787557,75,-37.62,-73.65,288.77,4.06
153,Hithadhoo,57,MV,1578787558,76,-0.6,73.08,301.24,6.65
154,Alice Springs,90,AU,1578787558,27,-23.7,133.88,299.15,5.7
155,Geraldton,0,AU,1578787558,45,-28.77,114.6,301.15,1.0
156,Klyuchi,92,RU,1578787558,90,52.27,79.17,259.89,3.2
157,Salalah,71,OM,1578787205,38,17.02,54.09,298.15,8.7
158,Port-Gentil,20,GA,1578787559,94,-0.72,8.78,300.15,2.6
159,Ancud,75,CL,1578787370,77,-41.87,-73.82,288.15,2.6
160,Arraial do Cabo,89,BR,1578787205,85,-22.97,-42.03,300.08,5.03
161,Lewistown,75,US,1578787437,82,40.6,-77.57,292.59,3.26
162,Bandarbeyla,0,SO,1578787560,72,9.49,50.81,298.87,3.99
163,Sorland,100,NO,1578787560,77,67.67,12.69,279.45,17.29
164,Durango,17,MX,1578787560,27,24.83,-104.83,285.93,3.02
165,Camana,73,PE,1578787280,84,-16.62,-72.71,290.69,1.71
166,Big Bend,33,SZ,1578787560,88,-26.82,31.93,297.15,1.5
167,Sao Filipe,33,CV,1578787354,75,14.9,-24.5,292.7,11.31
168,Luau,100,AO,1578787354,90,-10.71,22.22,290.21,1.32
169,Kumul,10,CN,1578787561,58,42.8,93.45,262.64,2.47
170,South Lake Tahoe,40,US,1578787303,38,38.93,-119.98,281.15,5.1
171,Mandalgovi,0,MN,1578787562,89,45.76,106.27,253.34,3.03
172,Talara,40,PE,1578787562,100,-4.58,-81.27,290.15,6.2
173,Minbu,0,MM,1578787562,80,20.18,94.88,289.33,2.38
174,Fairbanks,0,US,1578787562,66,64.84,-147.72,249.26,1.08
175,Avarua,14,CK,1578787352,74,-21.21,-159.78,301.15,8.2
176,Ugoofaaru,57,MV,1578787563,72,5.67,73.0,300.86,6.76
177,Sembakung,100,ID,1578787563,93,3.82,117.25,297.02,0.77
178,Te Anau,68,NZ,1578787355,74,-45.42,167.72,283.75,3.06
179,Nikolskoye,75,RU,1578787364,64,59.7,30.79,274.15,6.0
180,Klaksvik,67,FO,1578787564,80,62.23,-6.59,275.15,3.1
181,Morden,90,CA,1578787564,76,49.19,-98.1,256.15,5.1
182,Zaysan,83,KZ,1578787266,88,47.47,84.87,256.65,0.52
183,Beira,100,MZ,1578787565,77,-19.84,34.84,301.82,6.75
184,Sandy Bay,40,AU,1578787565,39,-42.91,147.35,293.71,3.6
185,Airai,100,TL,1578787347,74,-8.93,125.41,296.77,1.63
186,Camacha,75,PT,1578787565,63,33.08,-16.33,289.15,4.6
187,Muscat,75,OM,1578787565,72,23.61,58.59,292.15,4.1
188,Rosarito,1,MX,1578787490,71,32.33,-117.03,290.15,3.1
189,Sur,92,OM,1578787566,69,22.57,59.53,293.01,1.77
190,Tonala,40,MX,1578787372,12,20.62,-103.23,299.15,2.1
191,Colonia Nueva Germania,45,PY,1578787566,78,-23.9,-56.57,299.63,1.76
192,Bondo,57,CD,1578787566,37,3.81,23.69,290.54,0.9
193,Kaduqli,0,SD,1578787567,17,11.02,29.72,287.33,5.55
194,Masvingo,98,ZW,1578787567,94,-20.06,30.83,291.9,2.11
195,Maceio,0,BR,1578787567,83,-9.67,-35.74,298.15,2.1
196,Okakarara,100,NA,1578787567,75,-20.58,17.43,295.13,3.75
197,Kanniyakumari,0,IN,1578787567,71,8.08,77.57,297.92,13.52
198,Mangrol,6,IN,1578787568,86,21.12,70.12,294.89,3.83
199,Usinsk,98,RU,1578787568,95,65.99,57.53,262.32,5.21
200,Irati,100,BR,1578787568,98,-25.47,-50.65,294.44,0.69
201,Castro,100,BR,1578787568,94,-24.79,-50.01,293.96,0.21
202,Haines Junction,0,CA,1578787568,94,60.75,-137.51,240.78,2.44
203,Derzhavinsk,89,KZ,1578787569,88,51.1,66.32,258.01,3.02
204,Trinidad,75,BO,1578787398,70,-14.83,-64.9,304.15,0.7
205,Dingalan,86,PH,1578787569,84,15.39,121.39,295.93,2.43
206,Hondo,75,JP,1578787570,66,32.45,130.2,283.15,3.6
207,Luderitz,0,NA,1578787570,82,-26.65,15.16,290.15,5.7
208,Shelburne,90,CA,1578787570,93,44.08,-80.2,276.15,6.7
209,San Jose,20,US,1578787504,54,37.34,-121.89,287.59,3.6
210,Mnogovershinnyy,1,RU,1578787571,78,53.94,139.92,253.62,2.49
211,Kaeo,18,NZ,1578787571,46,-35.1,173.78,297.59,4.47
212,Barra de Tecoanapa,2,MX,1578787340,68,16.52,-98.75,300.65,1.65
213,Steamboat Springs,90,US,1578787425,92,40.48,-106.83,267.15,0.71
214,Santa Cruz de la Sierra,75,BO,1578787492,83,-17.8,-63.17,297.15,1.5
215,Siniscola,40,IT,1578787572,93,40.57,9.69,284.15,2.6
216,Manokwari,84,ID,1578787572,72,-0.87,134.08,299.58,1.25
217,Tandil,0,AR,1578787369,44,-37.32,-59.13,295.37,1.79
218,Yulara,68,AU,1578787364,31,-25.24,130.99,298.15,7.7
219,Saldanha,0,ZA,1578787340,86,-33.01,17.94,291.71,6.92
220,Marabu,75,MY,1578787328,100,4.41,114.01,297.15,2.1
221,Dauphin,90,CA,1578787573,70,51.15,-100.05,254.15,7.2
222,Nador,40,MA,1578787573,87,35.17,-2.93,286.15,0.85
223,Dingle,40,PH,1578787573,84,11.0,122.67,298.12,4.53
224,Tiznit,0,MA,1578787352,47,29.58,-9.5,284.2,3.96
225,Cap Malheureux,40,MU,1578787573,88,-19.98,57.61,299.15,2.1
226,Laela,100,TZ,1578787574,93,-8.57,32.05,289.13,0.96
227,Rio Grande,0,BR,1578787331,82,-32.03,-52.1,297.04,0.89
228,Kandrian,100,PG,1578787574,81,-6.22,149.55,300.27,1.44
229,Eirunepe,49,BR,1578787575,96,-6.66,-69.87,296.62,1.54
230,Codrington,55,AU,1578787345,78,-38.27,141.97,288.48,5.59
231,Kailua,75,US,1578787575,88,21.4,-157.74,299.82,4.1
232,Berlevag,100,NO,1578787368,90,70.86,29.09,271.82,7.23
233,Faya,22,SA,1578787346,52,18.39,42.45,279.15,2.6
234,Voznesenye,100,RU,1578787576,66,61.01,35.48,273.07,8.08
235,Pevek,100,RU,1578787576,93,69.7,170.31,252.57,2.25
236,Ranau,75,MY,1578787576,94,5.95,116.66,298.71,0.22
237,East London,35,ZA,1578787576,89,-33.02,27.91,296.54,1.62
238,Avera,90,US,1578787577,88,33.19,-82.53,297.15,4.6
239,Livani,100,LV,1578787577,81,56.35,26.18,274.43,5.16
240,Hinatuan,99,PH,1578787577,83,8.37,126.33,299.69,5.22
241,Karratha,100,AU,1578787577,76,-20.74,116.85,302.65,3.48
242,Araouane,82,ML,1578787577,16,18.9,-3.53,287.0,4.05
243,Muravlenko,100,RU,1578787578,93,63.79,74.52,260.48,6.24
244,Aranos,87,NA,1578787578,52,-24.13,19.12,299.08,6.1
245,Half Moon Bay,40,US,1578787578,76,37.46,-122.43,287.59,8.2
246,Motygino,0,RU,1578787578,96,58.18,94.76,250.77,1.13
247,Aswan,14,EG,1578787578,76,24.09,32.91,283.37,3.21
248,Miami,40,US,1578787286,69,25.77,-80.19,299.15,5.1
249,Skibbereen,75,IE,1578787579,100,51.55,-9.27,278.15,2.1
250,Coari,38,BR,1578787579,83,-4.08,-63.14,298.04,0.92
251,Bengkulu,99,ID,1578787579,88,-3.8,102.27,295.92,1.5
252,Mar del Plata,0,AR,1578787348,56,-38.0,-57.56,293.15,7.2
253,Kralendijk,75,BQ,1578787580,74,12.15,-68.27,300.15,8.2
254,Torres,38,BR,1578787580,82,-29.34,-49.73,299.06,0.47
255,Patos de Minas,96,BR,1578787581,100,-18.58,-46.52,295.93,2.0
256,Portsmouth,100,GB,1578787493,87,50.8,-1.09,283.71,10.3
257,Tabou,51,CI,1578787581,89,4.42,-7.35,297.74,0.59
258,Miranda,75,CO,1578787581,61,3.25,-76.23,300.15,5.1
259,Libreville,20,GA,1578787581,94,0.39,9.45,299.15,1.7
260,Shingu,75,JP,1578787582,81,33.73,135.98,280.15,2.1
261,Hualmay,11,PE,1578787582,82,-11.1,-77.61,293.17,2.78
262,Dorado,20,PR,1578787582,74,18.46,-66.27,300.15,8.2
263,Osoyoos,75,CA,1578787582,86,49.03,-119.45,274.15,1.19
264,Norman Wells,90,CA,1578787350,70,65.28,-126.83,255.15,9.3
265,Khatanga,99,RU,1578787583,89,71.97,102.5,259.13,3.71
266,Assiut,30,EG,1578787583,75,27.18,31.18,281.15,3.1
267,Amot,100,NO,1578787583,92,59.57,7.99,275.37,0.89
268,Krasnoselskiy,100,RU,1578787583,90,45.39,40.6,278.15,10.5
269,Hambantota,0,LK,1578787583,79,6.12,81.12,299.64,10.73
270,Gondanglegi,100,ID,1578787584,89,-7.75,112.01,296.88,1.35
271,Lithakia,75,GR,1578787584,93,37.72,20.83,281.15,3.1
272,Naze,75,JP,1578787584,88,28.37,129.48,291.15,5.1
273,Mahebourg,40,MU,1578787366,88,-20.41,57.7,299.15,2.1
274,Duku,73,NG,1578787584,26,11.24,4.91,299.71,3.65
275,Tinskoy,0,RU,1578787585,91,56.15,96.92,254.03,1.5
276,Preobrazheniye,74,RU,1578787585,63,42.9,133.91,262.24,3.12
277,Buzuluk,100,RU,1578787585,97,52.78,52.26,264.18,2.62
278,Parintins,96,BR,1578787586,65,-2.63,-56.74,299.95,0.16
279,Tiksi,64,RU,1578787347,87,71.69,128.87,246.47,3.27
280,Touros,20,BR,1578787586,78,-5.2,-35.46,299.15,3.1
281,Bilibino,100,RU,1578787586,100,68.05,166.44,251.35,0.82
282,Brae,66,GB,1578787586,75,60.4,-1.35,279.15,11.3
283,Puerto Escondido,20,MX,1578787587,69,15.85,-97.07,301.15,0.38
284,Iracoubo,56,GF,1578787587,78,5.48,-53.2,299.7,8.34
285,Pacific Grove,1,US,1578787356,58,36.62,-121.92,287.59,6.7
286,Katav-Ivanovsk,97,RU,1578787587,96,54.75,58.2,260.31,2.97
287,Morales,9,CO,1578787587,84,2.76,-76.62,292.73,0.59
288,Padang,100,ID,1578787335,90,-0.95,100.35,293.02,1.37
289,Sitrah,0,BH,1578787588,51,26.15,50.62,288.15,8.2
290,Sibolga,95,ID,1578787588,94,1.74,98.78,293.88,1.38
291,Portland,90,US,1578787497,75,45.52,-122.68,280.93,3.6
292,Rawson,0,AR,1578787588,67,-43.3,-65.1,289.0,4.01
293,Soyo,3,AO,1578787589,83,-6.13,12.37,297.33,1.87
294,San Blas,5,MX,1578787589,37,21.52,-105.27,301.15,3.6
295,Guerrero Negro,0,MX,1578787358,37,27.98,-114.06,290.73,6.84
296,Vila Velha,85,BR,1578787359,78,-20.33,-40.29,300.37,6.2
297,Beringovskiy,94,RU,1578787590,81,63.05,179.32,272.55,9.57
298,George Town,20,MY,1578787301,94,5.41,100.34,298.15,1.5
299,Port Hardy,90,CA,1578787590,93,50.7,-127.42,276.15,2.1
300,Shakhtinsk,100,KZ,1578787591,77,49.71,72.59,259.15,2.0
301,Dali,0,CN,1578787591,88,25.7,100.18,272.86,1.16
302,Homer,1,US,1578787591,43,59.64,-151.55,266.15,3.1
303,Omboue,33,GA,1578787591,91,-1.57,9.26,297.08,0.78
304,Dudinka,75,RU,1578787592,92,69.41,86.18,259.15,14.0
305,La Palma,20,US,1578787592,54,33.85,-118.05,291.15,2.1
306,Moranbah,53,AU,1578787592,44,-22.0,148.05,303.18,2.33
307,Odienne,0,CI,1578787592,27,9.51,-7.57,295.8,1.4
308,Muyezerskiy,100,RU,1578787592,96,63.93,31.65,274.07,8.1
309,Mount Gambier,90,AU,1578787593,63,-37.83,140.77,290.15,4.6
310,Kununurra,90,AU,1578787593,70,-15.77,128.73,303.15,3.1
311,Qaqortoq,66,GL,1578787593,50,60.72,-46.03,263.33,5.18
312,'Ewa Beach,75,US,1578787593,88,21.32,-158.01,299.82,4.1
313,Nantucket,90,US,1578787440,87,41.28,-70.1,287.15,10.8
314,Atlantic City,1,US,1578787510,82,39.36,-74.42,290.93,9.8
315,Teknaf,0,BD,1578787594,89,20.86,92.31,284.33,0.99
316,Scarborough,100,GB,1578787594,93,54.28,-0.4,282.15,3.6
317,Kargil,100,IN,1578787594,97,34.57,76.1,256.39,0.71
318,Puteyets,97,RU,1578787595,96,65.17,57.09,262.5,2.25
319,Wasilla,40,US,1578787595,76,61.58,-149.44,258.15,0.68
320,Bonavista,100,CA,1578787595,87,48.65,-53.11,273.15,1.34
321,Durusu,99,TR,1578787595,81,41.31,28.68,282.15,4.6
322,Port-Cartier,75,CA,1578787432,79,50.03,-66.87,269.15,2.6
323,Pakruojis,90,LT,1578787596,93,55.97,23.87,275.15,8.2
324,Genoa,0,IT,1578787596,79,44.41,8.96,284.15,6.7
325,Mitu,52,CO,1578787596,95,1.2,-70.17,296.08,0.74
326,Constitucion,0,CL,1578787361,80,-35.33,-72.42,287.82,3.74
327,Walvis Bay,82,NA,1578787352,77,-22.96,14.51,292.04,2.6
328,Ciudad del Carmen,5,MX,1578787597,62,18.63,-91.83,303.15,4.1
329,Zhangjiakou Shi Xuanhua Qu,83,CN,1578787597,80,40.61,115.04,261.04,2.07
330,Kharan,100,PK,1578787597,77,28.58,65.42,282.76,0.87
331,Ruteng,100,ID,1578787597,72,-8.61,120.47,296.82,1.82
332,Yumen,32,CN,1578787598,78,40.28,97.2,261.86,1.18
333,Palauig,90,PH,1578787350,72,15.44,119.9,297.24,0.75
334,Russell,75,US,1578787598,93,32.35,-85.2,292.59,5.7
335,Pisco,30,PE,1578787598,30,-13.7,-76.22,295.15,9.8
336,Marawi,99,PH,1578787599,85,8.0,124.29,299.82,1.34
337,Marzuq,26,YE,1578787599,44,14.4,46.47,287.65,4.54
338,Palamos,0,ES,1578787599,79,41.85,3.13,278.71,1.18
339,Port Lincoln,79,AU,1578787599,71,-34.73,135.87,291.94,6.82
340,San Rafael,31,AR,1578787599,36,-34.62,-68.33,302.21,7.24
341,Omsukchan,100,RU,1578787600,98,62.53,155.8,243.49,2.09
342,Grand Gaube,40,MU,1578787600,88,-20.01,57.66,299.15,2.1
343,Berezovyy,3,RU,1578787600,87,51.67,135.7,252.77,1.88
344,Mogadishu,40,SO,1578787365,83,2.04,45.34,300.33,7.75
345,Antalaha,71,MG,1578787601,79,-14.9,50.28,299.45,4.81
346,Ontario,20,US,1578787405,54,34.06,-117.65,291.15,2.1
347,Tual,83,ID,1578787601,74,-5.67,132.75,301.77,2.66
348,Verkhoyansk,0,RU,1578787601,96,67.54,133.38,234.84,0.93
349,Cacule,24,BR,1578787602,58,-14.5,-42.22,294.63,1.39
350,Frontignan,0,FR,1578787602,80,43.45,3.75,278.15,2.6
351,Hernani,15,ES,1578787602,93,43.27,-1.98,277.15,1.5
352,Neiafu,75,TO,1578787602,74,-18.65,-173.98,302.15,5.7
353,Olafsvik,47,IS,1578787346,67,64.89,-23.71,270.33,2.7
354,Codajas,21,BR,1578787566,93,-3.84,-62.06,297.65,0.17
355,Preslav,100,BG,1578787603,85,43.17,26.82,276.48,2.83
356,Rabo de Peixe,75,PT,1578787603,71,37.8,-25.58,286.15,3.6
357,Kudahuvadhoo,23,MV,1578787603,76,2.67,72.89,301.05,7.1
358,Katobu,100,ID,1578787603,85,-4.94,122.53,299.56,3.66
359,Leh,99,IN,1578787604,87,34.17,77.58,257.01,1.37
360,Chui,36,UY,1578787348,71,-33.7,-53.46,293.95,3.63
361,Tsaratanana,53,MG,1578787604,91,-16.78,47.65,292.64,1.98
362,Tevaitoa,91,PF,1578787604,80,-16.78,-151.5,300.77,7.25
363,Severo-Kuril'sk,100,RU,1578787604,88,50.68,156.12,266.81,5.65
364,Hirara,75,JP,1578787605,77,24.8,125.28,293.15,4.6
365,Shimoda,40,JP,1578787605,76,34.67,138.95,282.15,5.1
366,Papayal,78,PE,1578787605,59,-4.08,-80.74,299.27,2.07
367,Itarema,84,BR,1578787605,85,-2.92,-39.92,298.39,2.86
368,Toppenish,1,US,1578787461,52,46.38,-120.31,281.15,9.3
369,Paamiut,99,GL,1578787606,89,61.99,-49.67,262.27,3.54
370,Solnechnyy,23,RU,1578787606,94,50.72,136.63,253.12,1.13
371,Katsuura,75,JP,1578787606,65,35.13,140.3,283.15,4.1
372,Joshimath,35,IN,1578787606,48,30.57,79.57,273.49,4.03
373,Katra,100,IN,1578787607,47,32.98,74.95,282.52,2.51
